CATEGORY;OEM;BRAND;MODEL;YEAR;GENERATION;GEN_START;GEN_END;ENGINE;ENGINE_VOLUME;ENGINE_TYPE;BODY_TYPE;TRANSMISSION;PRODUCT_CATEGORY;TITLE;ID;STATE;DESCRIPTION;PRICE;CURRENCY;NDS;DISCOUNT;CITY;PHONE;PHOTO;VIDEO;IMPORTER
Двигатель;B46D;BMW;5 серия;2021;G30, G31 · Рестайлинг;;;Бензин;2000;;;;;;AV114318063;0;ДВС из США. Дефект поддона и крышки при транспортировке. Цена за деталь как на фото.;5953;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/3864.avif,https://avcdn.av.by/advertbig/0014/5599/3974.avif,https://avcdn.av.by/advertbig/0014/5599/4084.avif,https://avcdn.av.by/advertbig/0014/5599/4164.avif,https://avcdn.av.by/advertbig/0014/5599/4284.avif";;
Датчик температуры выхлопных газов;C4802AX3;BMW;3 серия;2009;E90, E91, E92, E93 · Рестайлинг;;;Бензин;2500;;;;;;AV114813239;0;Оригинальная запчасть из Европы в хорошем состоянии.;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4272.avif,https://avcdn.av.by/advertbig/0014/5443/4397.avif,https://avcdn.av.by/advertbig/0014/5443/4527.avif";;
Моторчик заслонки печки;A21201700;Peugeot;3008;2016;II;;;;;;;;;;AV114806616;0;Оригинальная запчасть из Европы в хорошем состоянии.;24;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4227.avif,https://avcdn.av.by/advertbig/0014/5443/4282.avif";;
Датчик температуры;0005428416;"Mercedes-Benz";A-Класс;1997;W168;;;;;;;;;;AV114833813_2;0;Оригинальная запчасть из Европы в хорошем состоянии. Цена за деталь в сборе как на фото.;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4352.avif,https://avcdn.av.by/advertbig/0014/5443/4462.avif";;
Датчик температуры;0005428416;"Mercedes-Benz";M-Класс;;W163;;;;;;;;;;AV114833813;0;Оригинальная запчасть из Европы в хорошем состоянии. Цена за деталь в сборе как на фото.;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4317.avif,https://avcdn.av.by/advertbig/0014/5443/4418.avif";;
Датчик температуры выхлопных газов;C4802AX3;BMW;3 серия;2009;E90, E91, E92, E93;;;Бензин;2500;;;;;;AV114813239;0;Оригинальная запчасть из Европы в хорошем состоянии.;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4272.avif,https://avcdn.av.by/advertbig/0014/5443/4397.avif,https://avcdn.av.by/advertbig/0014/5443/4527.avif";;
Моторчик заслонки печки;A21201700;Peugeot;3008;2016;I · Рестайлинг;;;;;;;;;;AV114806616;0;Оригинальная запчасть из Европы в хорошем состоянии.;24;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4227.avif,https://avcdn.av.by/advertbig/0014/5443/4282.avif";;
Датчик температуры;0005428418;"Mercedes-Benz";E-Класс;2004;W211, S211;;;Дизель;3200;;;АКПП;;;AV114827969;0;Оригинальная запчасть из Европы в хорошем состоянии.;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4232.avif,https://avcdn.av.by/advertbig/0014/5443/4322.avif,https://avcdn.av.by/advertbig/0014/5443/4402.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";E-Класс;2016;W213, S213, C238, A238;;;Дизель;3200;;;АКПП;;;AV114825689_7;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4252.avif,https://avcdn.av.by/advertbig/0014/5443/4369.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";E-Класс;2016;W212, S212, C207, A207 · Рестайлинг;;;Дизель;3200;;;АКПП;;;AV114825689_7;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4252.avif,https://avcdn.av.by/advertbig/0014/5443/4369.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";C-Класс;2014;W205, S205, C205, A205;;;Дизель;3200;;;АКПП;;;AV114825689_6;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4142.avif,https://avcdn.av.by/advertbig/0014/5443/4237.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";A-Класс;2004;W169;;;Дизель;3200;;;АКПП;;;AV114825689_3;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4092.avif,https://avcdn.av.by/advertbig/0014/5443/4217.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";C-Класс;2007;W204, S204;;;Дизель;3200;;;АКПП;;;AV114825689_2;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4052.avif,https://avcdn.av.by/advertbig/0014/5443/4172.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";E-Класс;2016;W212, S212, C207, A207;;;Дизель;3200;;;АКПП;;;AV114825689_7;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4252.avif,https://avcdn.av.by/advertbig/0014/5443/4369.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";C-Класс;2014;W204, S204 · Рестайлинг;;;Дизель;3200;;;АКПП;;;AV114825689_6;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4142.avif,https://avcdn.av.by/advertbig/0014/5443/4237.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";E-Класс;2009;W212, S212, C207, A207;;;Дизель;3200;;;АКПП;;;AV114825689_5;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4077.avif,https://avcdn.av.by/advertbig/0014/5443/4162.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";CLS;2004;C219;;;Дизель;3200;;;АКПП;;;AV114825689_4;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4072.avif,https://avcdn.av.by/advertbig/0014/5443/4197.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";A-Класс;2004;W168 · Рестайлинг;;;Дизель;3200;;;АКПП;;;AV114825689_3;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4092.avif,https://avcdn.av.by/advertbig/0014/5443/4217.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";C-Класс;2007;W203, S203, CL203 · Рестайлинг;;;Дизель;3200;;;АКПП;;;AV114825689_2;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/4052.avif,https://avcdn.av.by/advertbig/0014/5443/4172.avif";;
Крепление кассеты радиаторов;A1695040114;"Mercedes-Benz";E-Класс;2004;W211, S211;;;Дизель;3200;;;АКПП;;;AV114825689;0;Оригинальная запчасть в хорошем состоянии из Европы. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3992.avif,https://avcdn.av.by/advertbig/0014/5443/4122.avif";;
Моторчик заслонки печки;410475520;"Mercedes-Benz";E-Класс;2012;W212, S212, C207, A207;;;;;;;;;;AV114805186;0;Оригинальная запчасть из Европы в хорошем состоянии.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3837.avif,https://avcdn.av.by/advertbig/0014/5443/3937.avif,https://avcdn.av.by/advertbig/0014/5443/4042.avif,https://avcdn.av.by/advertbig/0014/5443/4177.avif";;
Бамперная решетка;2208850423;"Mercedes-Benz";S-Класс;2002;W220;;;Дизель;3200;;;;;;AV114840896;0;Оригинальная запчасть из Европы в хорошем состоянии. Все крепления целые. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3517.avif,https://avcdn.av.by/advertbig/0014/5443/3603.avif,https://avcdn.av.by/advertbig/0014/5443/3697.avif";;
Моторчик заслонки печки;CZ1139300721;BMW;3 серия;2009;E90, E91, E92, E93 · Рестайлинг;;;Бензин;2500;;;;;;AV114824678;0;Оригинальная запчасть из Европы в хорошем состоянии.;36;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3527.avif,https://avcdn.av.by/advertbig/0014/5443/3672.avif,https://avcdn.av.by/advertbig/0014/5443/3752.avif,https://avcdn.av.by/advertbig/0014/5443/3872.avif";;
Моторчик заслонки печки;CZ1139300721;BMW;3 серия;2009;E90, E91, E92, E93;;;Бензин;2500;;;;;;AV114824678;0;Оригинальная запчасть из Европы в хорошем состоянии.;36;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3527.avif,https://avcdn.av.by/advertbig/0014/5443/3672.avif,https://avcdn.av.by/advertbig/0014/5443/3752.avif,https://avcdn.av.by/advertbig/0014/5443/3872.avif";;
Бамперная решетка;A2118800605;"Mercedes-Benz";E-Класс;2004;W211, S211;;;Дизель;3200;;;АКПП;;;AV114840917;0;Оригинальная запчасть из Европы в хорошем состоянии.;48;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3412.avif,https://avcdn.av.by/advertbig/0014/5443/3482.avif,https://avcdn.av.by/advertbig/0014/5443/3612.avif";;
Датчик парктроника;9274428;MINI;Hatch;;F55, F56;;;;;;;;;;AV114840935;0;Оригинальная запчасть из Европы в хорошем состоянии. Цена за единицу.;51;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3417.avif,https://avcdn.av.by/advertbig/0014/5443/3461.avif,https://avcdn.av.by/advertbig/0014/5443/3582.avif";;
Кронштейн выпускного коллектора;8678770;BMW;5 серия;2018;G30, G31;;;Бензин;2000;;;;;;AV114836591;0;Оригинальная запчасть из Европы в хорошем состоянии.;54;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3402.avif,https://avcdn.av.by/advertbig/0014/5443/3477.avif,https://avcdn.av.by/advertbig/0014/5443/3562.avif";;
Направляющая трубка для троса ручника (стояночного тормоза);;"Volkswagen";Golf;1995;III;;;Дизель;1900;;;МКПП;;;AV114835985;0;Оригинальная запчасть в хорошем состоянии. Цена за комплект.;60;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3392.avif,https://avcdn.av.by/advertbig/0014/5443/3467.avif,https://avcdn.av.by/advertbig/0014/5443/3627.avif,https://avcdn.av.by/advertbig/0014/5443/3732.avif";;
Датчик удара;9196047;BMW;6 серия;2017;G32;;;;;;;;;;AV114812519_3;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3272.avif,https://avcdn.av.by/advertbig/0014/5443/3357.avif";;
Датчик удара;9196047;BMW;X1;2015;F48;;;;;;;;;;AV114812519_4;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3297.avif,https://avcdn.av.by/advertbig/0014/5443/3427.avif";;
Датчик удара;9196047;BMW;3 серия;2019;G20, G21;;;;;;;;;;AV114812519_6;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3172.avif,https://avcdn.av.by/advertbig/0014/5443/3312.avif";;
Датчик удара;9196047;BMW;3 серия;2019;F34 (GT) · Рестайлинг;;;;;;;;;;AV114812519_6;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3172.avif,https://avcdn.av.by/advertbig/0014/5443/3312.avif";;
Датчик удара;9196047;BMW;2 серия;2014;F22;;;;;;;;;;AV114812519_7;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3247.avif,https://avcdn.av.by/advertbig/0014/5443/3342.avif";;
Датчик удара;9196047;BMW;3 серия;2019;F30,F31 · Рестайлинг;;;;;;;;;;AV114812519_6;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3172.avif,https://avcdn.av.by/advertbig/0014/5443/3312.avif";;
Датчик удара;9196047;BMW;i3;2013;I01;;;;;;;;;;AV114812519_5;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3222.avif,https://avcdn.av.by/advertbig/0014/5443/3352.avif";;
Датчик удара;9196047;BMW;X1;2015;E84 · Рестайлинг;;;;;;;;;;AV114812519_4;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3297.avif,https://avcdn.av.by/advertbig/0014/5443/3427.avif";;
Датчик удара;9196047;BMW;6 серия;2017;F12, F13, F06 (Рестайлинг);;;;;;;;;;AV114812519_3;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3272.avif,https://avcdn.av.by/advertbig/0014/5443/3357.avif";;
Датчик удара;9196047;BMW;5 серия;2016;G30, G31;;;;;;;;;;AV114812519_2;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3142.avif,https://avcdn.av.by/advertbig/0014/5443/3207.avif";;
Датчик удара;9196047;MINI;Hatch;;F55, F56;;;;;;;;;;AV114812519;0;Оригинальная запчасть из Европы в хорошем состоянии.;182;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/3117.avif,https://avcdn.av.by/advertbig/0014/5443/3232.avif";;
Датчик удара;99160611100;"Porsche";"Cayman";2020;982;;;;;;;;;;AV114837041;0;Оригинальная запчасть из Европы в хорошем состоянии.;426;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5443/2907.avif,https://avcdn.av.by/advertbig/0014/5443/2977.avif";;
Защита арок (подкрылок);74850610,7143847;BMW;3 серия;2009;E90, E91, E92, E93 · Рестайлинг;;;Бензин;2500;;;;;;AV114796015;0;Крышка подкрылка переднего. Левый правый. Оригинальная запчасть из Европы в хорошем состоянии.;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5208.avif,https://avcdn.av.by/advertbig/0014/5250/5258.avif,https://avcdn.av.by/advertbig/0014/5250/5388.avif,https://avcdn.av.by/advertbig/0014/5250/5518.avif";;
Задний катафот;9068260040;"Mercedes-Benz";"Sprinter";2012;;;;;;;;;;;AV114799026;0;Задний левый. Оригинальная запчасть в хорошем состоянии.;18;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5203.avif,https://avcdn.av.by/advertbig/0014/5250/5313.avif,https://avcdn.av.by/advertbig/0014/5250/5418.avif";;
Защита арок (подкрылок);74850610,7143847;BMW;3 серия;2009;E90, E91, E92, E93;;;Бензин;2500;;;;;;AV114796015;0;Крышка подкрылка переднего. Левый правый. Оригинальная запчасть из Европы в хорошем состоянии.;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5208.avif,https://avcdn.av.by/advertbig/0014/5250/5258.avif,https://avcdn.av.by/advertbig/0014/5250/5388.avif,https://avcdn.av.by/advertbig/0014/5250/5518.avif";;
Датчик удара;9475697;MINI;Hatch;;F55, F56;;;;;;;;;;AV114796606;0;Оригинальная запчасть из Европы в хорошем состоянии.;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5148.avif,https://avcdn.av.by/advertbig/0014/5250/5283.avif,https://avcdn.av.by/advertbig/0014/5250/5413.avif,https://avcdn.av.by/advertbig/0014/5250/5503.avif";;
Концевой выключатель;;"Nissan";"Almera Tino";2001;I;;;Дизель;2200;;;МКПП;;;AV114772598;0;Концевик двери передней левой. Оригинальная запчасть в хорошем состоянии.;24;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5113.avif,https://avcdn.av.by/advertbig/0014/5250/5228.avif,https://avcdn.av.by/advertbig/0014/5250/5303.avif,https://avcdn.av.by/advertbig/0014/5250/5368.avif,https://avcdn.av.by/advertbig/0014/5250/5488.avif";;
Патрубок воздушного фильтра;026133853;Audi;80;1988;B3;;;Бензин;1800;;;МКПП;;;AV114787147;0;Оригинальная запчасть в хорошем состоянии.;24;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5078.avif,https://avcdn.av.by/advertbig/0014/5250/5175.avif,https://avcdn.av.by/advertbig/0014/5250/5272.avif,https://avcdn.av.by/advertbig/0014/5250/5398.avif";;
Блок управления зарядкой аккумулятора;A0025423819;"Mercedes-Benz";E-Класс;2004;W211, S211;;;Дизель;3200;;;АКПП;;;AV114773666;0;Оригинальная запчасть из Европы в хорошем состоянии.;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5073.avif,https://avcdn.av.by/advertbig/0014/5250/5189.avif,https://avcdn.av.by/advertbig/0014/5250/5288.avif";;
Датчик парктроника;A0015421923;"Mercedes-Benz";E-Класс;2004;W211, S211;;;Дизель;3200;;;АКПП;;;AV114780300;0;Оригинальная запчасть из Европы в хорошем состоянии.;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5085.avif,https://avcdn.av.by/advertbig/0014/5250/5223.avif,https://avcdn.av.by/advertbig/0014/5250/5318.avif";;
Крышка топливного бака;3AA201553;"Volkswagen";Passat CC;2015;I · Рестайлинг;;;;1600;;;;;;AV114783235;0;Оригинальная запчасть из Европы в хорошем состоянии.;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5083.avif,https://avcdn.av.by/advertbig/0014/5250/5198.avif,https://avcdn.av.by/advertbig/0014/5250/5338.avif";;
Датчик удара;A0028202726;"Mercedes-Benz";E-Класс;2004;W211, S211;;;Дизель;3200;;;АКПП;;;AV114792661;0;Оригинальная запчасть из Европы в хорошем состоянии. Цена за деталь в сборе как на фото. Цена за единицу.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5043.avif,https://avcdn.av.by/advertbig/0014/5250/5153.avif,https://avcdn.av.by/advertbig/0014/5250/5248.avif,https://avcdn.av.by/advertbig/0014/5250/5373.avif";;
Корректор фар;893941295;Audi;80;1988;B3;;;Бензин;1800;;;МКПП;;;AV114792120;0;Оригинальная запчасть в хорошем состоянии.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/5065.avif,https://avcdn.av.by/advertbig/0014/5250/5163.avif,https://avcdn.av.by/advertbig/0014/5250/5277.avif,https://avcdn.av.by/advertbig/0014/5250/5438.avif";;
Крышка топливного бака;7482902;MINI;Hatch;;F55, F56;;;;1600;;;;;;AV114783909;0;Оригинальная запчасть из Европы в хорошем состоянии.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/4978.avif,https://avcdn.av.by/advertbig/0014/5250/5103.avif,https://avcdn.av.by/advertbig/0014/5250/5190.avif";;
Датчик педали тормоза (лягушка);1J0945511D;"Volkswagen";"Sharan";2005;I · 2-й рестайлинг;;;Дизель;1900;;;МКПП;;;AV114799251;0;Оригинальная запчасть из Европы в хорошем состоянии. Цена за деталь в сборе как на фото.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/4963.avif,https://avcdn.av.by/advertbig/0014/5250/5008.avif,https://avcdn.av.by/advertbig/0014/5250/5136.avif";;
Моторчик заслонки печки;CZ113930,CZ1139300852;Audi;A8;2010;D4;;;Бензин;4200;;;;;;AV114794557;0;Оригинальная запчасть из Европы в хорошем состоянии.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/5809.avif,https://avcdn.av.by/advertbig/0014/5599/5919.avif,https://avcdn.av.by/advertbig/0014/5250/4958.avif,https://avcdn.av.by/advertbig/0014/5250/5014.avif,https://avcdn.av.by/advertbig/0014/5250/5134.avif";;
Моторчик заслонки печки;CZ113930,CZ1139300852;Audi;A8;2010;D3 · 2-й Рестайлинг;;;Бензин;4200;;;;;;AV114794557;0;Оригинальная запчасть из Европы в хорошем состоянии.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/5809.avif,https://avcdn.av.by/advertbig/0014/5599/5919.avif,https://avcdn.av.by/advertbig/0014/5250/4958.avif,https://avcdn.av.by/advertbig/0014/5250/5014.avif,https://avcdn.av.by/advertbig/0014/5250/5134.avif";;
Реле прочее;4RA00779307;"Mercedes-Benz";C-Класс;2005;W203, S203, CL203 · Рестайлинг;;;;;;;;;;AV114793230;0;Оригинальная запчасть из Европы в хорошем состоянии. Цена за деталь в сборе как на фото.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5250/4913.avif,https://avcdn.av.by/advertbig/0014/5250/5058.avif,https://avcdn.av.by/advertbig/0014/5250/5168.avif";;
